tagalog,cebuano,english,level,example_sentence,audio_url
isa,usa,one,Beginner,,
dalawa,duha,two,Beginner,,
pamilya,pamilya,family,Beginner,,
kumain,mokaon,to eat,Beginner,,
tubig,tubig,water,Beginner,,
bahay,balay,house,Beginner,,
aso,iro,dog,Beginner,,
kumusta,kumusta,hello,Beginner,,
salamat,salamat,thank you,Beginner,,
pula,pula,red,Beginner,,
trabaho,trabaho,work,Intermediate,,
kaligayahan,kalipay,happiness,Intermediate,,
maglakad,maglakaw,to walk,Intermediate,,
kapatid,igsoon,sibling,Intermediate,,
paaralan,eskwelahan,school,Intermediate,,
tulungan,tabangan,to help,Intermediate,,
pagkakataon,higayon,opportunity,Intermediate,,
malungkot,masulub-on,sad,Intermediate,,
pananagutan,responsibilidad,responsibility,Advanced,,
kasarinlan,kagawasan,independence,Advanced,,
katarungan,hustisya,justice,Advanced,,
kalikasan,kinaiyahan,nature (environment),Advanced,,
pagtitiyaga,pagpadayon,perseverance,Advanced,,
